Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT,TC
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,25,16.397
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,100,17.761
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,200,19.64
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,300,21.783
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,400,23.466
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,500,25.225
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,600,28.185
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,700,30.244
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,800,31.319
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,900,32.878
0.283,0,0.51497,0.157,0.008,0,0,0.00003,0.0003,0,0.005,0,0.027,0,0,0.004,0.0007,0,0,0,1000,36.541
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,25,14.872
0.09482,0,0.68991,0.17874,0.01363,0,0,0.01216,0.00931,0,0,0,0,0,0,0,0.00102,0,0.00036,0.00005,100,14.55
